node_id,x,y,z,floor,zone
294,16.0,8.0,129.0,21,tower
295,16.0,8.0,135.0,22,tower
296,16.0,8.0,141.0,23,tower
297,16.0,8.0,147.0,24,tower
298,16.0,8.0,153.0,25,tower
299,16.0,16.0,81.0,13,tower
300,16.0,16.0,87.0,14,tower
301,16.0,16.0,93.0,15,tower
302,16.0,16.0,99.0,16,tower
303,16.0,16.0,105.0,17,tower
304,16.0,16.0,111.0,18,tower
305,16.0,16.0,117.0,19,tower
306,16.0,16.0,123.0,20,tower
307,16.0,16.0,129.0,21,tower
308,16.0,16.0,135.0,22,tower
309,16.0,16.0,141.0,23,tower
310,16.0,16.0,147.0,24,tower
311,16.0,16.0,153.0,25,tower
312,24.0,0.0,81.0,13,tower
313,24.0,0.0,87.0,14,tower
314,24.0,0.0,93.0,15,tower
315,24.0,0.0,99.0,16,tower
316,24.0,0.0,105.0,17,tower
317,24.0,0.0,111.0,18,tower
318,24.0,0.0,117.0,19,tower
319,24.0,0.0,123.0,20,tower
320,24.0,0.0,129.0,21,tower
321,24.0,0.0,135.0,22,tower
322,24.0,0.0,141.0,23,tower
323,24.0,0.0,147.0,24,tower
324,24.0,0.0,153.0,25,tower
325,24.0,8.0,81.0,13,tower
326,24.0,8.0,87.0,14,tower
327,24.0,8.0,93.0,15,tower
328,24.0,8.0,99.0,16,tower
329,24.0,8.0,105.0,17,tower
330,24.0,8.0,111.0,18,tower
331,24.0,8.0,117.0,19,tower
332,24.0,8.0,123.0,20,tower
333,24.0,8.0,129.0,21,tower
334,24.0,8.0,135.0,22,tower
335,24.0,8.0,141.0,23,tower
336,24.0,8.0,147.0,24,tower
337,24.0,8.0,153.0,25,tower
338,24.0,16.0,81.0,13,tower
339,24.0,16.0,87.0,14,tower
340,24.0,16.0,93.0,15,tower
341,24.0,16.0,99.0,16,tower
342,24.0,16.0,105.0,17,tower
343,24.0,16.0,111.0,18,tower
344,24.0,16.0,117.0,19,tower
345,24.0,16.0,123.0,20,tower
346,24.0,16.0,129.0,21,tower
347,24.0,16.0,135.0,22,tower
348,24.0,16.0,141.0,23,tower
349,24.0,16.0,147.0,24,tower
350,24.0,16.0,153.0,25,tower
351,32.0,0.0,81.0,13,tower
352,32.0,0.0,87.0,14,tower
353,32.0,0.0,93.0,15,tower
354,32.0,0.0,99.0,16,tower
355,32.0,0.0,105.0,17,tower
356,32.0,0.0,111.0,18,tower
357,32.0,0.0,117.0,19,tower
358,32.0,0.0,123.0,20,tower
359,32.0,0.0,129.0,21,tower
360,32.0,0.0,135.0,22,tower
