element_id,element_type,is_truss,ni,nj,mid_x,mid_y,mid_z,x1,y1,z1,x2,y2,z2,sigma_axial_kPa,sigma_bending_kPa,sigma_combined_kPa,sigma_combined_MPa
1841,brace_xz,True,744,768,0.16849999999999998,0.24300000000000002,0.6000000000000001,0.15,0.24300000000000002,0.5700000000000001,0.187,0.24300000000000002,0.63,273.338573888508,0.0,273.338573888508,0.273338573888508
1842,brace_xz,True,747,765,0.16849999999999998,0.24300000000000002,0.6000000000000001,0.187,0.24300000000000002,0.5700000000000001,0.15,0.24300000000000002,0.63,201.12194269168646,0.0,201.12194269168646,0.20112194269168646
1843,brace_xz,True,743,767,0.1315,0.397,0.6000000000000001,0.113,0.397,0.5700000000000001,0.15,0.397,0.63,-344.03199950251576,0.0,344.03199950251576,0.3440319995025158
1844,brace_xz,True,746,764,0.1315,0.397,0.6000000000000001,0.15,0.397,0.5700000000000001,0.113,0.397,0.63,-447.4779329086092,0.0,447.4779329086092,0.4474779329086092
1845,brace_xz,True,746,770,0.16849999999999998,0.397,0.6000000000000001,0.15,0.397,0.5700000000000001,0.187,0.397,0.63,-407.1266275549827,0.0,407.1266275549827,0.4071266275549827
1846,brace_xz,True,749,767,0.16849999999999998,0.397,0.6000000000000001,0.187,0.397,0.5700000000000001,0.15,0.397,0.63,-346.28672121769796,0.0,346.28672121769796,0.34628672121769793
1847,column,False,756,777,0.003,0.24300000000000002,0.66,0.003,0.24300000000000002,0.63,0.003,0.24300000000000002,0.6900000000000001,59.229015850959826,1826.0857422883034,1885.3147581392632,1.885314758139263
1848,column,False,757,778,0.003,0.32,0.66,0.003,0.32,0.63,0.003,0.32,0.6900000000000001,0.515554504403387,151.3665177843654,151.8820722887688,0.1518820722887688
1849,column,False,758,779,0.003,0.397,0.66,0.003,0.397,0.63,0.003,0.397,0.6900000000000001,-58.25321259871972,1806.8580516755003,1865.11126427422,1.86511126427422
1850,column,False,759,780,0.03,0.24300000000000002,0.66,0.03,0.24300000000000002,0.63,0.03,0.24300000000000002,0.6900000000000001,53.04188820566722,1628.809754831717,1681.8516430373843,1.6818516430373842
1851,column,False,760,781,0.03,0.32,0.66,0.03,0.32,0.63,0.03,0.32,0.6900000000000001,1.7950518325679279,121.6679241420243,123.46297597459223,0.12346297597459223
1852,column,False,761,782,0.03,0.397,0.66,0.03,0.397,0.63,0.03,0.397,0.6900000000000001,-52.39523138808052,1614.037947918856,1666.4331793069364,1.6664331793069365
1853,column,False,762,783,0.113,0.24300000000000002,0.66,0.113,0.24300000000000002,0.63,0.113,0.24300000000000002,0.6900000000000001,1.5026685593723172,82.10850332633287,83.61117188570518,0.08361117188570517
1854,column,False,763,784,0.113,0.32,0.66,0.113,0.32,0.63,0.113,0.32,0.6900000000000001,-3.471017104427488,220.07900625458078,223.55002335900826,0.22355002335900825
1855,column,False,764,785,0.113,0.397,0.66,0.113,0.397,0.63,0.113,0.397,0.6900000000000001,1.3582570146156672,42.37626822207824,43.734525236693905,0.043734525236693904
1856,column,False,765,786,0.15,0.24300000000000002,0.66,0.15,0.24300000000000002,0.63,0.15,0.24300000000000002,0.6900000000000001,-0.37415229182055715,13.06807804660172,13.442230338422277,0.013442230338422278
1857,column,False,766,787,0.15,0.32,0.66,0.15,0.32,0.63,0.15,0.32,0.6900000000000001,5.184010349801561,331.70184057011784,336.8858509199194,0.3368858509199194
1858,column,False,767,788,0.15,0.397,0.66,0.15,0.397,0.63,0.15,0.397,0.6900000000000001,0.16214090661001615,27.228191636201622,27.390332542811638,0.02739033254281164
1859,column,False,768,789,0.187,0.24300000000000002,0.66,0.187,0.24300000000000002,0.63,0.187,0.24300000000000002,0.6900000000000001,-1.822063484013023,82.92082446180214,84.74288794581517,0.08474288794581517
1860,column,False,769,790,0.187,0.32,0.66,0.187,0.32,0.63,0.187,0.32,0.6900000000000001,-7.263404647654597,473.7001339573225,480.96353860497715,0.48096353860497715
1861,column,False,770,791,0.187,0.397,0.66,0.187,0.397,0.63,0.187,0.397,0.6900000000000001,-0.7532663552500397,25.062747305802233,25.816013661052274,0.025816013661052274
1862,column,False,771,792,0.27,0.24300000000000002,0.66,0.27,0.24300000000000002,0.63,0.27,0.24300000000000002,0.6900000000000001,-53.35441198111802,1641.6569931572894,1695.0114051384076,1.6950114051384075
1863,column,False,772,793,0.27,0.32,0.66,0.27,0.32,0.63,0.27,0.32,0.6900000000000001,14.651231742868976,908.3760534273706,923.0272851702396,0.9230272851702396
1864,column,False,773,794,0.27,0.397,0.66,0.27,0.397,0.63,0.27,0.397,0.6900000000000001,52.18067605617543,1608.8150438636915,1660.9957199198668,1.6609957199198668
1865,column,False,774,795,0.297,0.24300000000000002,0.66,0.297,0.24300000000000002,0.63,0.297,0.24300000000000002,0.6900000000000001,-59.3926552511467,1836.0541208549037,1895.4467761060503,1.8954467761060503
1866,column,False,775,796,0.297,0.32,0.66,0.297,0.32,0.63,0.297,0.32,0.6900000000000001,2.104580128979941,149.09333865902116,151.1979187880011,0.1511979187880011
1867,column,False,776,797,0.297,0.397,0.66,0.297,0.397,0.63,0.297,0.397,0.6900000000000001,57.830630639831575,1795.8875788669347,1853.7182095067662,1.8537182095067661
1868,beam_x,False,756,759,0.0165,0.24300000000000002,0.63,0.003,0.24300000000000002,0.63,0.03,0.24300000000000002,0.63,8.339350997261375,3665.1910423673917,3673.5303933646533,3.6735303933646533
1869,beam_x,False,758,761,0.0165,0.397,0.63,0.003,0.397,0.63,0.03,0.397,0.63,9.448554011180594,3550.305570621486,3559.7541246326664,3.5597541246326663
1870,beam_x,False,759,762,0.07150000000000001,0.24300000000000002,0.63,0.03,0.24300000000000002,0.63,0.113,0.24300000000000002,0.63,289.39987069591575,582.3867605015764,871.7866311974922,0.8717866311974922
1871,beam_x,False,761,764,0.07150000000000001,0.397,0.63,0.03,0.397,0.63,0.113,0.397,0.63,-384.03032895169775,587.5601787999486,971.5905077516463,0.9715905077516463
1872,beam_x,False,762,765,0.1315,0.24300000000000002,0.63,0.113,0.24300000000000002,0.63,0.15,0.24300000000000002,0.63,206.2616006451395,200.5817577746349,406.8433584197744,0.4068433584197744
1873,beam_x,False,764,767,0.1315,0.397,0.63,0.113,0.397,0.63,0.15,0.397,0.63,-370.5815169610716,464.2318802589468,834.8133972200184,0.8348133972200183
1874,beam_x,False,765,768,0.16849999999999998,0.24300000000000002,0.63,0.15,0.24300000000000002,0.63,0.187,0.24300000000000002,0.63,185.1545686497897,918.0167807274763,1103.171349377266,1.1031713493772661
1875,beam_x,False,767,770,0.16849999999999998,0.397,0.63,0.15,0.397,0.63,0.187,0.397,0.63,-397.6281297842232,1011.4278362779378,1409.055966062161,1.4090559660621609
1876,beam_x,False,768,771,0.2285,0.24300000000000002,0.63,0.187,0.24300000000000002,0.63,0.27,0.24300000000000002,0.63,231.70212359505004,936.466469658408,1168.168593253458,1.168168593253458
1877,beam_x,False,770,773,0.2285,0.397,0.63,0.187,0.397,0.63,0.27,0.397,0.63,-424.2670793082622,970.8653004457425,1395.1323797540047,1.3951323797540047
1878,beam_x,False,771,774,0.2835,0.24300000000000002,0.63,0.27,0.24300000000000002,0.63,0.297,0.24300000000000002,0.63,-11.093965656294746,3679.2581134309835,3690.352079087278,3.690352079087278
1879,beam_x,False,773,776,0.2835,0.397,0.63,0.27,0.397,0.63,0.297,0.397,0.63,-24.56894990030042,3449.10264762137,3473.6715975216707,3.4736715975216708
1880,beam_y,False,756,757,0.003,0.28150000000000003,0.63,0.003,0.24300000000000002,0.63,0.003,0.32,0.63,-8.63167382131578,680.4889811321799,689.1206549534957,0.6891206549534956
1881,beam_y,False,774,775,0.297,0.28150000000000003,0.63,0.297,0.24300000000000002,0.63,0.297,0.32,0.63,-5.343571695773556,333.3458716953396,338.6894433911132,0.3386894433911132
1882,beam_y,False,757,758,0.003,0.35850000000000004,0.63,0.003,0.32,0.63,0.003,0.397,0.63,1.5403328761629131,134.31939570996082,135.85972858612374,0.13585972858612375
1883,beam_y,False,775,776,0.297,0.35850000000000004,0.63,0.297,0.32,0.63,0.297,0.397,0.63,15.849007401941803,884.5092194849015,900.3582268868432,0.9003582268868432
1884,brace_xz,True,762,786,0.1315,0.24300000000000002,0.66,0.113,0.24300000000000002,0.63,0.15,0.24300000000000002,0.6900000000000001,126.5500945718127,0.0,126.5500945718127,0.1265500945718127
1885,brace_xz,True,765,783,0.1315,0.24300000000000002,0.66,0.15,0.24300000000000002,0.63,0.113,0.24300000000000002,0.6900000000000001,156.2562547093662,0.0,156.2562547093662,0.15625625470936622
1886,brace_xz,True,765,789,0.16849999999999998,0.24300000000000002,0.66,0.15,0.24300000000000002,0.63,0.187,0.24300000000000002,0.6900000000000001,179.56179289651297,0.0,179.56179289651297,0.17956179289651297
1887,brace_xz,True,768,786,0.16849999999999998,0.24300000000000002,0.66,0.187,0.24300000000000002,0.63,0.15,0.24300000000000002,0.6900000000000001,80.67786548374808,0.0,80.67786548374808,0.08067786548374808
1888,brace_xz,True,764,788,0.1315,0.397,0.66,0.113,0.397,0.63,0.15,0.397,0.6900000000000001,-276.3744009130043,0.0,276.3744009130043,0.2763744009130043
1889,brace_xz,True,767,785,0.1315,0.397,0.66,0.15,0.397,0.63,0.113,0.397,0.6900000000000001,-334.425075173746,0.0,334.425075173746,0.334425075173746
1890,brace_xz,True,767,791,0.16849999999999998,0.397,0.66,0.15,0.397,0.63,0.187,0.397,0.6900000000000001,-344.81259674234974,0.0,344.81259674234974,0.34481259674234976
1891,brace_xz,True,770,788,0.16849999999999998,0.397,0.66,0.187,0.397,0.63,0.15,0.397,0.6900000000000001,-238.0624170686684,0.0,238.0624170686684,0.2380624170686684
1892,column,False,777,798,0.003,0.24300000000000002,0.72,0.003,0.24300000000000002,0.6900000000000001,0.003,0.24300000000000002,0.75,52.17303080728063,1572.007089171366,1624.1801199786466,1.6241801199786468
