time_s,disp_mm,vel_mm_s,accel_m_s2
5.203000000000000291e+00,2.719988307151273155e-01,-1.953746016605590219e+00,-2.825493877819227340e-01
5.203999999999999737e+00,2.699031784982146576e-01,-2.237558417219632556e+00,-2.850754134461632727e-01
5.205000000000000071e+00,2.675228442130083151e-01,-2.523110153193078187e+00,-2.860280585007279885e-01
5.206000000000000405e+00,2.648561445945973869e-01,-2.810289083628852769e+00,-2.883298023708211755e-01
5.206999999999999851e+00,2.619027311796184310e-01,-3.096537746329021790e+00,-2.841675230295168664e-01
5.208000000000000185e+00,2.586659939078599368e-01,-3.376936797187985562e+00,-2.766305786884097895e-01
5.209000000000000519e+00,2.551526381190297732e-01,-3.649774780472345270e+00,-2.690453878803096277e-01
5.209999999999999964e+00,2.513700541383221965e-01,-3.915393180942789098e+00,-2.621914130605789151e-01
5.211000000000000298e+00,2.473245806330567620e-01,-4.175553829588062982e+00,-2.581298842299661889e-01
5.211999999999999744e+00,2.430219705373767580e-01,-4.429666361771944949e+00,-2.500951801377977457e-01
5.213000000000000078e+00,2.384704535552710225e-01,-4.673367602439541635e+00,-2.373073011973938495e-01
5.214000000000000412e+00,2.336804807230606074e-01,-4.906578061981265115e+00,-2.291136178860495587e-01
5.214999999999999858e+00,2.286611838649184603e-01,-5.132015654303071273e+00,-2.217615667575609795e-01
5.216000000000000192e+00,2.234213488847952012e-01,-5.347654305943421171e+00,-2.095157365231405944e-01
5.217000000000000526e+00,2.179709205522000759e-01,-5.553202359246801834e+00,-2.015803700836189538e-01
5.217999999999999972e+00,2.123177034378349870e-01,-5.753231869483418137e+00,-1.984786503896136534e-01
5.219000000000000306e+00,2.064665495047144639e-01,-5.949075996757590801e+00,-1.932096041587316737e-01
5.219999999999999751e+00,2.004227590066598452e-01,-6.138504999351686919e+00,-1.856484010294570108e-01
5.221000000000000085e+00,1.941934835360540068e-01,-6.320045941859986804e+00,-1.774334839871445357e-01
5.222000000000000419e+00,1.877879800955601086e-01,-6.490960939127813134e+00,-1.643965105485098999e-01
5.222999999999999865e+00,1.812165366317098625e-01,-6.651925988572635617e+00,-1.575335883411350668e-01
5.224000000000000199e+00,1.744875888513202078e-01,-6.805969572206683971e+00,-1.505535789269634162e-01
5.225000000000000533e+00,1.676097574379833421e-01,-6.949693254467078418e+00,-1.368937855938237025e-01
5.225999999999999979e+00,1.605942030692540656e-01,-7.081415482991481269e+00,-1.265506714549820000e-01
5.227000000000000313e+00,1.534511279915920512e-01,-7.204734672332530288e+00,-1.200877072271142598e-01
5.227999999999999758e+00,1.461889875538009143e-01,-7.319546203249728045e+00,-1.095353546072812545e-01
5.229000000000000092e+00,1.388175745812363915e-01,-7.423279741879336591e+00,-9.793172265193583748e-02
5.230000000000000426e+00,1.313478016273840476e-01,-7.516266165825339129e+00,-8.804112524006746376e-02
5.230999999999999872e+00,1.237897410051179009e-01,-7.599855078706947431e+00,-7.913670052314736303e-02
5.232000000000000206e+00,1.161518879960119210e-01,-7.675850939505022730e+00,-7.285502107300323438e-02
5.233000000000000540e+00,1.084408785533896996e-01,-7.746167945739407479e+00,-6.777899139576981646e-02
5.233999999999999986e+00,1.006623293331451174e-01,-7.810930494749777075e+00,-6.174610662497292957e-02
5.235000000000000320e+00,9.282330336244309921e-02,-7.867121446654235406e+00,-5.063579718394373153e-02
5.235999999999999766e+00,8.493176663306963026e-02,-7.915952012092723145e+00,-4.702533369303529831e-02
5.237000000000000099e+00,7.699291773897540270e-02,-7.961745776095725091e+00,-4.456219431296681854e-02
5.238000000000000433e+00,6.901084793415589169e-02,-8.002393833543292700e+00,-3.673392058217195277e-02
5.238999999999999879e+00,6.099178527403600197e-02,-8.035731486696485959e+00,-2.994138572421456423e-02
5.240000000000000213e+00,5.294324000439122602e-02,-8.061359052593072505e+00,-2.131374606895497514e-02
5.241000000000000547e+00,4.487338094594493787e-02,-8.078359064299499792e+00,-1.268627734390315176e-02
5.241999999999999993e+00,3.678981403344917800e-02,-8.088774760692016841e+00,-8.145115441130945655e-03
5.243000000000000327e+00,2.869949996490099228e-02,-8.091853376404355203e+00,1.987884016457774905e-03
5.243999999999999773e+00,2.061131643202615202e-02,-8.084513689345321552e+00,1.269149010160952606e-02
5.245000000000000107e+00,1.253460922385416475e-02,-8.068900726998656125e+00,1.853443459172132712e-02
5.246000000000000441e+00,4.475534481987084555e-03,-8.049248756735506660e+00,2.076950593458115613e-02
5.246999999999999886e+00,-3.561500976352902602e-03,-8.024822159944468680e+00,2.808368764749480384e-02
5.248000000000000220e+00,-1.156997537846976565e-02,-7.992126644289256454e+00,3.730734366293142479e-02
5.248999999999999666e+00,-1.954256039768144729e-02,-7.953043394134107658e+00,4.085915664737149733e-02
