time,disp,vel,accel
1.225999999999999979e+01,-1.795515159229573669e-04,-1.842140352380595330e-03,1.049507399016880171e-03
1.226999999999999957e+01,-1.963118415389360140e-04,-1.509924770815133889e-03,6.539360891407541843e-02
1.228000000000000114e+01,-2.072782577065173976e-04,-6.833584627011426039e-04,9.991965270872282812e-02
1.229000000000000092e+01,-2.078319706078950104e-04,5.726158824256200475e-04,1.512752163166296571e-01
1.230000000000000071e+01,-1.941226207884924929e-04,2.169254081454883437e-03,1.680524234892230018e-01
1.231000000000000050e+01,-1.672729985269138164e-04,3.200670370860851655e-03,3.823083439197072497e-02
1.232000000000000028e+01,-1.380533397732183916e-04,2.643261379878233085e-03,-1.497126325884944320e-01
1.233000000000000007e+01,-1.222446694890021092e-04,5.184726769650233914e-04,-2.752451079941473644e-01
1.233999999999999986e+01,-1.318025079541584269e-04,-2.430040369996286712e-03,-3.144575013981146805e-01
1.234999999999999964e+01,-1.691655176932413949e-04,-5.042561577820306451e-03,-2.080467401666894478e-01
1.235999999999999943e+01,-2.233741199241169215e-04,-5.799158868354798227e-03,5.672728205979082894e-02
1.237000000000000099e+01,-2.737272496940552848e-04,-4.271467085632875069e-03,2.488110744845937194e-01
1.238000000000000078e+01,-2.962382376676316606e-04,-2.307305090823996707e-04,5.593362408255012630e-01
1.239000000000000057e+01,-2.677690241521197070e-04,5.924573212184790390e-03,6.717245034279367699e-01
1.240000000000000036e+01,-1.833125442592877126e-04,1.096672276638160914e-02,3.367054074114267381e-01
1.241000000000000014e+01,-7.213842260426640688e-05,1.126810156462265330e-02,-2.764296477632185445e-01
1.241999999999999993e+01,1.863638654774413665e-05,6.886860265779455592e-03,-5.998186120054208592e-01
1.242999999999999972e+01,5.855916516307492763e-05,1.097695457286702522e-03,-5.580143496931294633e-01
1.243999999999999950e+01,4.801067050320763271e-05,-3.207394389260161561e-03,-3.030036196162434470e-01
1.245000000000000107e+01,7.853652767729634343e-06,-4.824009157835438058e-03,-2.031933409881203634e-02
1.246000000000000085e+01,-3.786613166278080233e-05,-4.319947728266649439e-03,1.211316200125699405e-01
1.247000000000000064e+01,-7.011208825537340963e-05,-2.129243590251871966e-03,3.170092075903855333e-01
1.248000000000000043e+01,-7.023080336348433493e-05,2.105500568629686906e-03,5.299396241859262169e-01
1.249000000000000021e+01,-2.827966484633843901e-05,6.284727134799491383e-03,3.059056890480347235e-01
1.250000000000000000e+01,3.942274321073105907e-05,7.255754476614407339e-03,-1.117002206850514767e-01
1.250999999999999979e+01,1.032332784243355540e-04,5.506352566106492361e-03,-2.381801614165315328e-01
1.251999999999999957e+01,1.446343960608344225e-04,2.773870961193280679e-03,-3.083161595661108034e-01
1.253000000000000114e+01,1.582954124253763226e-04,-4.166768828490086812e-05,-2.547915703295253742e-01
