Period,Sae
0.5452722722722723,1.1352126845190342
0.5472732732732732,1.131061994490842
0.5492742742742743,1.1269415463119048
0.5512752752752753,1.1228510106695913
0.5532762762762763,1.1187900630152898
0.5552772772772773,1.1147583834785713
0.5572782782782782,1.1107556567832002
0.5592792792792792,1.1067815721649485
0.5612802802802803,1.1028358232911672
0.5632812812812813,1.0989181081820734
0.5652822822822823,1.0950281291337076
0.5672832832832833,1.091165592642523
0.5692842842842842,1.0873302093315633
0.5712852852852853,1.0835216938781946
0.5732862862862863,1.0797397649433484
0.5752872872872873,1.0759841451022425
0.5772882882882883,1.0722545607765415
0.5792892892892892,1.0685507421679252
0.5812902902902903,1.0648724231930278
0.5832912912912913,1.0612193414197162
0.5852922922922923,1.057591238004676
0.5872932932932933,1.0539878576322723
0.5892942942942943,1.050408948454659
0.5912952952952953,1.0468542620330994
0.5932962962962963,1.0433235532804794
0.5952972972972973,1.039816580404976
0.5972982982982983,1.0363331048548603
0.5992992992992993,1.0328728912644063
0.6013003003003003,1.029435707400878
0.6033013013013013,1.0260213241125737
0.6053023023023023,1.0226295152778995
0.6073033033033033,1.0192600577554491
0.6093043043043043,1.0159127313350693
0.6113053053053054,1.012587318689884
0.6133063063063063,1.0092836053292595
0.6153073073073073,1.0060013795526865
0.6173083083083083,1.0027404324045592
0.6193093093093093,0.9995005576298308
0.6213103103103104,0.9962815516305267
0.6233113113113113,0.9930832134230947
0.6253123123123123,0.989905344596574
0.6273133133133133,0.9867477492715651
0.6293143143143143,0.9836102340599824
0.6313153153153154,0.9804926080255721
0.6333163163163164,0.9773946826451793
0.6353173173173173,0.974316271770745
0.6373183183183183,0.9712571915920217
0.6393193193193193,0.9682172605999875
0.6413203203203203,0.9651962995509452
0.6433213213213214,0.9621941314312921
0.6453223223223223,0.9592105814229451
0.6473233233233233,0.956245476869406
0.6493243243243243,0.9532986472424558
0.6513253253253253,0.950369924109462
0.6533263263263264,0.9474591411012865
0.6553273273273273,0.944566133880783
