elem_id,n1,n2,x_mid,y_mid,z_mid,x1,y1,z1,x2,y2,z2,length,orientation,element_type,N_max,V_max,M_max,sigma_axial,sigma_bending,sigma_combined,tau_shear,utilization,shear_utilization
50,159,198,36000.0,0.0,21000.0,32000.0,0.0,21000.0,40000.0,0.0,21000.0,8000.0,x-direction,beam_x,0.23892938693621818,1.80364473301431e-06,0.011048159194287156,0.006636927414894949,0.00030689331095242096,0.00694382072584737,7.515186387559624e-08,0.0005786517271539475,3.0060745550238494e-08
51,16,55,4000.0,8000.0,21000.0,0.0,8000.0,21000.0,8000.0,8000.0,21000.0,8000.0,x-direction,beam_x,2.616110184226469e-06,1.8266499537697963e-06,0.010591609600583151,7.266972733962414e-08,0.0002942113777939764,0.000294284047521316,7.611041474040818e-08,2.4523670626776332e-05,3.0444165896163274e-08
52,55,94,12000.0,8000.0,21000.0,8000.0,8000.0,21000.0,16000.0,8000.0,21000.0,8000.0,x-direction,beam_x,1.1406250609274852e-05,7.869457577972525e-05,0.41398330859731647,3.168402947020792e-07,0.011499536349925456,0.011499853190220158,3.278940657488552e-06,0.0007666568793480105,1.3115762629954208e-06
53,94,133,20000.0,8000.0,21000.0,16000.0,8000.0,21000.0,24000.0,8000.0,21000.0,8000.0,x-direction,beam_x,8.090272238029922e-07,5.728629862145062e-13,0.20290013347950733,2.2472978438972004e-08,0.005636114818875204,0.005636137291853643,2.3869291092271096e-14,0.0003757424861235762,9.547716436908439e-15
54,133,172,28000.0,8000.0,21000.0,24000.0,8000.0,21000.0,32000.0,8000.0,21000.0,8000.0,x-direction,beam_x,1.140388908765758e-05,7.869457453831146e-05,0.41398330328731237,3.1677469687937726e-07,0.011499536202425343,0.011499852977122223,3.2789406057629775e-06,0.0007666568651414816,1.311576242305191e-06
55,172,211,36000.0,8000.0,21000.0,32000.0,8000.0,21000.0,40000.0,8000.0,21000.0,8000.0,x-direction,beam_x,2.616470633550334e-06,1.826650144401757e-06,0.01059161035314931,7.267973982084261e-08,0.00029421139869859194,0.0002942840784384128,7.611042268340654e-08,2.4523673203201066e-05,3.044416907336262e-08
56,29,68,4000.0,16000.0,21000.0,0.0,16000.0,21000.0,8000.0,16000.0,21000.0,8000.0,x-direction,beam_x,0.23893270173452347,1.8036512957800731e-06,0.01104819551565226,0.006637019492625652,0.0003068943198792295,0.006943913812504881,7.51521373241697e-08,0.00046292758750032543,3.006085492966788e-08
57,68,107,12000.0,16000.0,21000.0,8000.0,16000.0,21000.0,16000.0,16000.0,21000.0,8000.0,x-direction,beam_x,0.8329581699186753,7.315348140501697e-05,0.3965847947062615,0.023137726942185424,0.011016244297396153,0.034153971239581575,3.0480617252090406e-06,0.002276931415972105,1.2192246900836162e-06
58,107,146,20000.0,16000.0,21000.0,16000.0,16000.0,21000.0,24000.0,16000.0,21000.0,8000.0,x-direction,beam_x,0.06429645927575268,4.996726508894735e-11,0.20285212203347752,0.001786012757659797,0.005634781167596597,0.007420793925256394,2.08196937870614e-12,0.0006183994937713662,8.327877514824559e-13
59,146,185,28000.0,16000.0,21000.0,24000.0,16000.0,21000.0,32000.0,16000.0,21000.0,8000.0,x-direction,beam_x,0.8329576835418633,7.31534799572011e-05,0.39658478845962686,0.023137713431718426,0.011016244123878525,0.03415395755559695,3.0480616648833786e-06,0.002276930503706463,1.2192246659533514e-06
