elem_id,type,tower,length,axial_force_N,shear_Vy_N,shear_Vz_N,torsion_Nmm,moment_My_Nmm,moment_Mz_Nmm,axial_stress_MPa,bending_stress_MPa,combined_stress_MPa,shear_stress_MPa
9419,shear_wall_xz,tower2,78.10249675906654,-212.50600710421517,-0.10733475835022054,-253.91773742365865,5.040878590895231,-34.87119244387699,-8.596744991860204,-5.902944641783755,1.2074427065482554,7.110387348332011,10.579906671235305
9420,shear_wall_xz,tower2,78.10249675906654,-263.52360807649455,-0.4366843730719412,316.51322053230626,12.742120875729473,2.3386101844174174,14.141320499779138,-7.320100224347071,0.45777585233879314,7.777876076685864,13.188063407196925
9421,shear_wall_xz,tower2,78.10249675906654,-105.90232177864884,-0.7172014003319147,-124.68213135741506,20.381834182327346,-66.66989685767633,-14.27105178122867,-2.941731160518023,2.248359684414028,5.190090844932051,5.195174754051353
9422,shear_wall_xz,tower2,78.10249675906654,-259.14569828524736,0.6528111694749476,312.20588129578,-20.635413546805044,23.411891773040647,-20.77065365777557,-7.198491619034649,1.2272929286337837,8.425784547668432,13.008606824886172
9423,shear_wall_xz,tower2,78.10249675906654,22.519982256958453,0.5881579196414071,30.02684970221166,-17.12623407778215,-89.16806067448246,16.875049404883853,0.6255550626932904,2.9456419466490638,3.571197009342354,1.2513587287491725
9424,shear_wall_xz,tower2,78.10249675906654,-237.03336195414775,-0.8500307850682803,287.2277847579694,21.945322779570528,65.2512418679211,13.125545213500825,-6.584260054281882,2.1771329744839423,8.761393028765823,11.96787677328776
9425,shear_wall_xz,tower2,78.10249675906654,-240.6990802244293,-0.8269224631370521,-291.55678310581874,21.320551917813617,63.741097362162435,-12.224860134321094,-6.686085561789703,2.1101654860134316,8.796251047803134,12.148248157297143
9426,shear_wall_xz,tower2,78.10249675906654,14.754821815694314,0.6003313300155467,-20.681482585696067,-17.745013723718376,-88.40357662448234,-17.36363159758792,0.4098561615470643,2.937978006168618,3.347834167715682,0.8620914085011759
9427,shear_wall_xz,tower2,78.10249675906654,-264.8297592818813,0.6600847871840164,-318.91936764065326,-21.493088261650488,20.895962944988582,21.447835640627833,-7.356382202274481,1.176216627378234,8.532598829652715,13.288335447776731
9428,shear_wall_xz,tower2,78.10249675906654,-114.58112962054139,-0.7271008056783378,135.13401520516015,21.358445851834084,-65.41202635693622,15.20477936534472,-3.1828091561261496,2.239355714507804,5.422164870633953,5.630665471119412
9429,shear_wall_xz,tower2,78.10249675906654,-271.135410841709,-0.3551601974643304,-325.5655668698788,9.901648874598669,0.6760207509057681,-10.741582849236458,-7.531539190047472,0.31715565555950626,7.848694845606979,13.565240024680996
9430,shear_wall_xz,tower2,78.10249675906654,-221.3042396983296,-0.10963856734857244,264.50043156611986,5.4565880250757495,-33.72872971443375,8.383759499537229,-6.147339991620267,1.1697913670547495,7.317131358675017,11.020852262056769
9431,shear_wall_xz,tower2,78.10249675906654,-221.3042396983296,0.10963856734865828,-264.50043156611986,-5.456588025078354,-33.72872971443375,8.383759499539428,-6.147339991620267,1.1697913670548106,7.317131358675078,11.020852262056769
9432,shear_wall_xz,tower2,78.10249675906654,-271.135410841709,0.35516019746423333,325.5655668698788,-9.901648874595672,0.6760207509057681,-10.74158284923406,-7.531539190047472,0.31715565555943964,7.8486948456069126,13.565240024680996
9433,shear_wall_xz,tower2,78.10249675906654,-114.58112962054138,0.7271008056783402,-135.13401520516015,-21.35844585183369,-65.4120263569357,15.20477936534475,-3.182809156126149,2.23935571450779,5.42216487063394,5.630665471119412
9434,shear_wall_xz,tower2,78.10249675906654,-264.8297592818813,-0.6600847871840005,318.91936764065326,21.49308826165035,20.895962944987506,21.447835640627808,-7.356382202274481,1.1762166273782033,8.532598829652684,13.288335447776731
9435,shear_wall_xz,tower2,78.10249675906654,14.754821815694267,-0.6003313300155579,20.681482585696106,17.745013723718206,-88.4035766244845,-17.36363159758736,0.409856161547063,2.9379780061686627,3.3478341677157255,0.8620914085011776
9436,shear_wall_xz,tower2,78.10249675906654,-240.69908022442928,0.8269224631370168,291.55678310581874,-21.3205519178116,63.7410973621635,-12.224860134319025,-6.686085561789702,2.1101654860134036,8.796251047803107,12.148248157297143
9437,shear_wall_yz,tower2,72.11102550927978,0.3448177448352571,-140.51211116402442,-216.36855165356042,-109.32575566000489,2.520796227116092,-14.301124431396053,0.009578270689868253,0.4672755738475596,0.47685384453742785,10.749596530576948
9438,shear_wall_yz,tower2,72.11102550927978,-0.4586473702152888,200.18833584957395,-304.61990945303825,86.39577331529789,-23.096076147684773,-6.911296012040714,-0.012740204728202467,0.8335381155479302,0.8462783202761327,15.18798061913272
