t_s,Ux_T1_cm,Ux_T2_cm,Uy_T1_cm,Uy_T2_cm
4.2600,-0.19011007,-0.19010918,0.00117795,0.00117195
4.2800,-0.04131786,-0.04131717,0.00067861,0.00067747
4.3000,0.07970780,0.07971576,-0.00001894,-0.00001684
4.3200,0.10140013,0.10139693,-0.00069063,-0.00068610
4.3400,0.01416870,0.01417454,-0.00109521,-0.00109567
4.3600,-0.12791839,-0.12792027,-0.00104547,-0.00104822
4.3800,-0.22863523,-0.22862180,-0.00056147,-0.00057003
4.4000,-0.19650965,-0.19649884,0.00018751,0.00018188
4.4200,-0.01509191,-0.01508410,0.00085182,0.00085058
4.4400,0.21427948,0.21427334,0.00118437,0.00119116
4.4600,0.36522667,0.36519867,0.00096758,0.00097977
4.4800,0.33535339,0.33532725,0.00029876,0.00030884
4.5000,0.12759622,0.12757248,-0.00054603,-0.00054077
4.5200,-0.12836230,-0.12834979,-0.00119602,-0.00120134
4.5400,-0.26886144,-0.26883612,-0.00137352,-0.00138092
4.5600,-0.24186763,-0.24182837,-0.00098326,-0.00099213
4.5800,-0.10706148,-0.10704311,-0.00014072,-0.00014327
4.6000,0.04529734,0.04528962,0.00075456,0.00075570
4.6200,0.11472288,0.11469576,0.00137523,0.00137879
4.6400,0.07700074,0.07696578,0.00144867,0.00145166
4.6600,-0.02849916,-0.02850658,0.00097362,0.00097165
4.6800,-0.12763437,-0.12762532,0.00015594,0.00015285
4.7000,-0.14506314,-0.14502842,-0.00067371,-0.00067953
4.7200,-0.07047812,-0.07045740,-0.00120410,-0.00120513
4.7400,0.01969934,0.01970716,-0.00125084,-0.00125080
4.7600,0.04043301,0.04041879,-0.00079266,-0.00079046
4.7800,-0.02271754,-0.02273441,-0.00003161,-0.00003252
4.8000,-0.11942049,-0.11942338,0.00075835,0.00075433
4.8200,-0.16599994,-0.16599156,0.00127492,0.00126967
4.8400,-0.10189634,-0.10187628,0.00134035,0.00133612
4.8600,0.05280793,0.05280824,0.00088962,0.00089214
4.8800,0.17326713,0.17325815,0.00010138,0.00010591
4.9000,0.18295600,0.18292966,-0.00072036,-0.00071314
4.9200,0.10286568,0.10285312,-0.00132182,-0.00131929
4.9400,-0.01425373,-0.01424885,-0.00142283,-0.00142265
4.9600,-0.08298579,-0.08296314,-0.00101962,-0.00102237
4.9800,-0.06843139,-0.06840317,-0.00022368,-0.00022634
5.0000,0.01258667,0.01258985,0.00062704,0.00062806
5.0200,0.10567485,0.10566095,0.00120970,0.00121195
5.0400,0.15500540,0.15496648,0.00129589,0.00130189
5.0600,0.13161926,0.13159436,0.00084040,0.00084351
5.0800,0.04288809,0.04288082,0.00005507,0.00005726
5.1000,-0.05143863,-0.05141693,-0.00075457,-0.00075669
5.1200,-0.09776983,-0.09773765,-0.00125032,-0.00125328
5.1400,-0.06956486,-0.06954621,-0.00125640,-0.00125833
5.1600,0.00484085,0.00484161,-0.00078098,-0.00078099
5.1800,0.02510298,0.02508002,-0.00000886,-0.00000725
5.2000,-0.06828086,-0.06829332,0.00081082,0.00080781
5.2200,-0.18044753,-0.18045181,0.00134713,0.00134220
5.2400,-0.20792185,-0.20790169,0.00140701,0.00139887
5.2600,-0.11439080,-0.11437565,0.00099645,0.00099356
5.2800,0.06419868,0.06420436,0.00021285,0.00021414
5.3000,0.21577672,0.21576167,-0.00063214,-0.00062461
5.3200,0.24117138,0.24114616,-0.00129325,-0.00128517
5.3400,0.12088348,0.12087449,-0.00147544,-0.00147185
5.3600,-0.04499532,-0.04499104,-0.00115187,-0.00115229
5.3800,-0.14758763,-0.14755610,-0.00039874,-0.00040503
5.4000,-0.10152807,-0.10151145,0.00049403,0.00049197
5.4200,0.08120269,0.08120610,0.00114495,0.00114599
5.4400,0.22611369,0.22608028,0.00132152,0.00133038
5.4600,0.13087474,0.13084280,0.00098706,0.00099015
5.4800,-0.14243975,-0.14245416,0.00037365,0.00037006
5.5000,-0.36830453,-0.36828610,-0.00039387,-0.00040611
5.5200,-0.42642458,-0.42637319,-0.00080889,-0.00082338
5.5400,-0.23380509,-0.23377188,-0.00087614,-0.00088201
5.5600,0.09788634,0.09790859,-0.00052137,-0.00052088
5.5800,0.40825398,0.40821129,-0.00004188,-0.00002540
5.6000,0.53042187,0.53037872,0.00029777,0.00031197
5.6200,0.34719266,0.34714094,0.00043356,0.00044733
5.6400,-0.01278183,-0.01278233,0.00029523,0.00029302
5.6600,-0.31382124,-0.31378719,0.00004532,0.00003562
5.6800,-0.38258523,-0.38254119,-0.00017869,-0.00019088
5.7000,-0.21907707,-0.21904069,-0.00023922,-0.00024766
5.7200,0.05837433,0.05835704,-0.00015567,-0.00015168
5.7400,0.27316178,0.27313449,-0.00002858,-0.00002196
5.7600,0.30392813,0.30387959,0.00007924,0.00009161
5.7800,0.14318953,0.14318073,0.00005347,0.00005640
5.8000,-0.15604345,-0.15602487,0.00003748,0.00003345
5.8200,-0.36843003,-0.36838865,0.00005814,0.00004580
5.8400,-0.30879489,-0.30875919,0.00008154,0.00007075
5.8600,-0.03743422,-0.03743972,0.00014605,0.00014601
5.8800,0.20958686,0.20956203,0.00013795,0.00014369
5.9000,0.22824639,0.22820817,0.00015325,0.00016189
5.9200,0.06845586,0.06844339,0.00002178,0.00002358
5.9400,-0.13838009,-0.13836089,-0.00008396,-0.00008890
5.9600,-0.19730492,-0.19727686,-0.00016461,-0.00017029
5.9800,-0.04440836,-0.04437972,-0.00020374,-0.00020677
6.0000,0.18989267,0.18987841,-0.00016473,-0.00015692
6.0200,0.32545038,0.32542352,-0.00014740,-0.00013811
6.0400,0.24053772,0.24049888,-0.00008802,-0.00007913
6.0600,0.00973602,0.00972548,-0.00008146,-0.00008163
6.0800,-0.18601957,-0.18599879,-0.00002631,-0.00003275
6.1000,-0.20088956,-0.20086108,0.00000836,0.00000259
6.1200,-0.07037433,-0.07034324,0.00009133,0.00008740
6.1400,0.10252345,0.10250949,0.00014246,0.00014801
6.1600,0.17759326,0.17757374,0.00012009,0.00012370
6.1800,0.08786247,0.08782445,0.00007787,0.00008291
6.2000,-0.07733984,-0.07734224,-0.00003839,-0.00004246
6.2200,-0.19083156,-0.19081173,-0.00007308,-0.00007872
6.2400,-0.14109605,-0.14106500,-0.00010475,-0.00010913
6.2600,0.00550160,0.00552736,-0.00006144,-0.00006224
6.2800,0.09944717,0.09943204,0.00001999,0.00002505
6.3000,0.06880919,0.06879142,0.00011257,0.00011302
6.3200,-0.06221837,-0.06225149,0.00016319,0.00016327
6.3400,-0.19495872,-0.19494980,0.00020155,0.00019304
6.3600,-0.18112238,-0.18110402,0.00019800,0.00019372
6.3800,0.01188574,0.01191826,0.00010116,0.00009998
6.4000,0.24962611,0.24963075,-0.00004962,-0.00004069
6.4200,0.36077024,0.36074397,-0.00026531,-0.00025359
6.4400,0.25568740,0.25565258,-0.00042616,-0.00041835
6.4600,0.01764593,0.01761398,-0.00050750,-0.00050567
6.4800,-0.20344777,-0.20343105,-0.00039584,-0.00040422
6.5000,-0.27618270,-0.27615268,-0.00010307,-0.00011026
6.5200,-0.15553127,-0.15548395,0.00026623,0.00025909
6.5400,0.08949493,0.08949862,0.00054235,0.00054693
6.5600,0.29235299,0.29232582,0.00056446,0.00057270
6.5800,0.29098557,0.29093418,0.00033855,0.00034891
6.6000,0.07662243,0.07658803,-0.00006445,-0.00006200
6.6200,-0.20325417,-0.20323923,-0.00041350,-0.00042070
6.6400,-0.32805684,-0.32801533,-0.00057689,-0.00058656
6.6600,-0.20914068,-0.20908437,-0.00047993,-0.00048821
6.6800,0.03665283,0.03666194,-0.00016491,-0.00016191
6.7000,0.20037585,0.20035463,0.00022045,0.00022548
6.7200,0.17346884,0.17341606,0.00052203,0.00052918
6.7400,0.01355798,0.01352698,0.00057745,0.00057681
6.7600,-0.15286949,-0.15286291,0.00043399,0.00042938
6.7800,-0.21495861,-0.21492137,0.00013586,0.00012899
6.8000,-0.16660542,-0.16655596,-0.00013672,-0.00014290
6.8200,-0.04356936,-0.04355858,-0.00030632,-0.00030638
6.8400,0.08533898,0.08532431,-0.00034729,-0.00034594
6.8600,0.14334619,0.14329905,-0.00025547,-0.00024916
6.8800,0.10220230,0.10217783,-0.00011107,-0.00010894
6.9000,-0.02723562,-0.02723193,0.00008118,0.00008128
6.9200,-0.17333379,-0.17329741,0.00024832,0.00024223
6.9400,-0.24519971,-0.24515732,0.00038377,0.00037563
6.9600,-0.17897269,-0.17896225,0.00041991,0.00041463
6.9800,-0.01849474,-0.01850978,0.00033569,0.00033410
7.0000,0.12524290,0.12520015,0.00015240,0.00015772
7.0200,0.16890983,0.16888887,-0.00010863,-0.00010420
7.0400,0.09452159,0.09452268,-0.00033626,-0.00033214
7.0600,-0.02954725,-0.02951595,-0.00046910,-0.00047077
7.0800,-0.11071170,-0.11068034,-0.00041523,-0.00041858
7.1000,-0.08394413,-0.08393676,-0.00021136,-0.00021411
7.1200,0.03568128,0.03566537,0.00006732,0.00006789
7.1400,0.18391070,0.18387306,0.00028601,0.00029252
7.1600,0.28882786,0.28880474,0.00031400,0.00032256
7.1800,0.26207396,0.26206389,0.00013015,0.00013961
7.2000,0.05438714,0.05440654,-0.00014088,-0.00013988
7.2200,-0.22097285,-0.22094849,-0.00032075,-0.00032721
7.2400,-0.35840206,-0.35838251,-0.00034867,-0.00036075
7.2600,-0.28218320,-0.28217902,-0.00016124,-0.00017044
7.2800,-0.05242735,-0.05243935,0.00015539,0.00015397
7.3000,0.19547427,0.19546316,0.00041815,0.00042409
7.3200,0.30010205,0.30008842,0.00047867,0.00048912
7.3400,0.18501050,0.18501041,0.00030948,0.00031498
7.3600,-0.07410590,-0.07410361,0.00001580,0.00001398
7.3800,-0.30095418,-0.30094294,-0.00025932,-0.00026958
7.4000,-0.34473237,-0.34471983,-0.00035857,-0.00036971
7.4200,-0.15341887,-0.15340946,-0.00025395,-0.00025895
7.4400,0.15720235,0.15720486,-0.00005424,-0.00004929
7.4600,0.36091994,0.36090766,0.00013424,0.00014641
7.4800,0.31441718,0.31440063,0.00019838,0.00020845
7.5000,0.05789205,0.05787626,0.00014744,0.00014950
